Age,SocioEcon,GoodStudent,RiskAversion,VehicleYear,MakeModel,Antilock,Mileage,SeniorTrain,DrivingSkill,DrivQuality,Accident,RuggedAuto,ThisCarDam,CarValue,AntiTheft,HomeBase,Theft,ThisCarCost,OtherCarCost,PropCost,OtherCar,Airbag,Cushioning,MedCost,ILiCost,DrivHist
Senior,Prole,False,Cautious,Older,Economy,False,TwentyThou,False,Normal,Excellent,None,EggShell,None,FiveThou,True,Rural,False,Thousand,Thousand,Thousand,True,False,Poor,Thousand,Thousand,Zero
Adolescent,Prole,False,Adventurous,Older,FamilySedan,False,TwentyThou,False,Normal,Normal,None,Football,None,TwentyThou,False,City,False,Thousand,Thousand,TenThou,True,True,Excellent,Thousand,Thousand,One
Adolescent,Middle,False,Normal,Older,Economy,False,Domino,False,Normal,Normal,None,EggShell,None,FiveThou,False,Suburb,False,Thousand,Thousand,Thousand,True,False,Poor,Thousand,Thousand,Zero
Senior,Prole,False,Cautious,Current,Economy,False,TwentyThou,True,Normal,Excellent,None,EggShell,None,TwentyThou,True,City,False,Thousand,Thousand,Thousand,True,True,Poor,Thousand,Thousand,Zero
Senior,UpperMiddle,False,Cautious,Current,Economy,False,FiftyThou,True,Normal,Normal,None,Football,None,TenThou,True,Secure,False,Thousand,Thousand,Thousand,True,True,Good,Thousand,Thousand,Zero
Adult,Prole,False,Adventurous,Current,FamilySedan,True,FiftyThou,False,Normal,Poor,None,EggShell,None,TwentyThou,False,City,False,Thousand,Thousand,Thousand,False,True,Good,Thousand,Thousand,Zero
Adult,Middle,False,Normal,Older,FamilySedan,False,FiftyThou,False,SubStandard,Poor,None,Tank,None,TwentyThou,False,Secure,False,Thousand,Thousand,Thousand,True,False,Good,Thousand,Thousand,Many
Adult,Middle,False,Adventurous,Older,FamilySedan,False,TwentyThou,False,Normal,Poor,Mild,Football,Moderate,TwentyThou,False,Suburb,False,HundredThou,Thousand,HundredThou,True,False,Fair,Thousand,Thousand,One
Adult,Prole,False,Adventurous,Older,Economy,False,FiveThou,False,Expert,Excellent,None,EggShell,None,TenThou,False,Suburb,False,Thousand,Thousand,TenThou,True,False,Poor,Thousand,Thousand,Zero
Adult,Prole,False,Adventurous,Older,FamilySedan,False,FiveThou,False,SubStandard,Poor,Moderate,Football,Moderate,TenThou,False,City,False,TenThou,Thousand,TenThou,True,True,Good,Thousand,Thousand,Many
Adult,UpperMiddle,False,Normal,Current,FamilySedan,False,TwentyThou,False,Normal,Normal,None,Football,None,TwentyThou,True,Secure,False,Thousand,Thousand,Thousand,True,True,Excellent,Thousand,Thousand,Zero
Adult,UpperMiddle,False,Normal,Older,Luxury,True,TwentyThou,False,SubStandard,Poor,Mild,Football,Mild,FiftyThou,True,Suburb,False,Thousand,Thousand,Thousand,True,True,Good,Thousand,Thousand,Many
Adult,Middle,False,Adventurous,Current,FamilySedan,False,TwentyThou,False,Expert,Excellent,None,Football,None,TwentyThou,False,Rural,False,Thousand,Thousand,Thousand,True,True,Good,Thousand,Thousand,One
Adult,Prole,False,Cautious,Current,Economy,False,TwentyThou,False,Normal,Normal,Moderate,EggShell,Moderate,FiveThou,True,City,False,TenThou,Thousand,TenThou,False,True,Fair,Thousand,Thousand,Zero
