1764.9150612354279
TRY24,TRY25
SNode_44,SNode_46
VALUE3,SNode_46
GOAL_66,SNode_67
NEED36,SNode_67
SNode_68,SNode_67
SNode_7,NEWTONS74
TRY12,TRY14
GOAL_53,SNode_43
IDENTIFY39,SNode_43
GOAL_66,SNode_43
NEWTONS74,SNode_136
APPLY32,GOAL_56
GOAL_53,GOAL_56
IDENTIFY10,GOAL_56
SNode_18,GOAL_56
RApp9,SNode_128
RApp10,SNode_128
SNode_88,NORMAL50
GOAL_147,GOAL_149
SNode_15,GOAL_149
SNode_8,GOAL_149
GOAL_113,SNode_117
NEED36,SNode_117
GOAL_81,RApp6
RApp5,RApp6
RApp12,RApp6
SNode_5,VALUE3
SNode_155,VALUE3
SNode_9,VALUE3
SNode_8,APPLY32
GOAL_103,SNode_94
FIND49,SNode_94
GOAL_98,SNode_94
DEFINE23,SNode_94
RApp6,COMPO16
GOAL_80,COMPO16
RApp12,COMPO16
GOAL_98,DEFINE23
SNode_10,SNode_33
SNode_94,SNode_33
GOAL_87,SNode_33
GOAL_84,SNode_86
SYSTEM46,SNode_86
RApp13,GOAL_146
INCLINE51,HORIZ53
GOAL_121,SNode_154
NEED36,SNode_154
NEED36,RApp10
GOAL_108,RApp10
GOAL66,RApp10
SNode_42,CONSTANT5
KNOWN6,CONSTANT5
RApp3,CONSTANT5
GOAL_2,IDENTIFY43
TRY12,TRY13
GOAL_53,SNode_55
IDENTIFY43,SNode_55
SNode_16,SNode_21
SNode_13,SNode_21
GOAL_126,SNode_21
SNode_59,SNode_60
AXIS33,SNode_60
GOAL_61,SNode_60
SNode_25,SLIDING4
VECTOR44,SNode_68
NEED36,SNode_68
GOAL_98,GOAL_99
FIND58,GOAL_99
GOAL_126,GOAL65
GOAL_108,GOAL65
GOAL_49,GOAL_50
RApp9,GOAL_50
SNode_18,IDENTIFY22
BUGGY54,INCLINE51
SNode_91,INCLINE51
SNode_88,INCLINE51
GOAL_61,GOAL66
SNode_8,GOAL66
KINE29,SNode_6
GOAL_104,SNode_106
MAXIMIZE34,SNode_106
GOAL_108,RApp9
GOAL_150,SNode_151
GRAV78,SNode_151
